STORE_NUM,CHEMICAL__,AKA1,AKA2,CLS,RPT_CDE,RPT_UNIT,MCL,NL,TRIGGER_AM,DLR,RPHL,CHEM_SORT_,PS
34561,"1,3-DICHLOROPROPENE (TOTAL)","TOTAL 1,3-DICHLOROPROPENE",,P,VOC,UG/L,0.50000,0.00000,0.00000,0.50000,0.00000,"DICHLOROPROPENE-1,3 (TOTAL)",
A-083,"1,3-DINITROBENZENE",,,X,XX,UG/L,0.00000,0.00000,0.00000,0.00000,0.00000,"1,3-DINITROBENZENE",
34571,"1,4-DICHLOROBENZENE",P-DCB,,P,VOC,UG/L,5.00000,0.00000,0.00000,0.50000,1.00000,"DICHLOROBENZENE-1,4",P
77285,"1,4-DICHLOROBUTANE",,,B,XX,UG/L,0.00000,0.00000,0.00000,0.00000,0.00000,"DICHLOROBUTANE-1,4",
A-032,"1,4-DIOXANE",,,NL,XX,UG/L,0.00000,1.00000,1.00000,1.00000,0.00000,"DIOXANE-1,4",
A-052,17-B ESTRADIOL,,,X,XX,UG/L,0.00000,0.00000,0.00000,0.00000,0.00000,17-B ESTRADIOL,
77441,1-NAPHTHOL,,,B,XX,UG/L,0.00000,0.00000,0.00000,0.00000,0.00000,NAPHTHOL-1,
A-086,"2,2',4,4',5,5'-HEXABROMOBIPHENYL (HBB)",,,X,XX,UG/L,0.00000,0.00000,0.00000,0.00000,0.00000,"2,2',4,4',5,5'-HEXABROMOBIPHEN",
A-087,"2,2',4,4',5,5'-HEXABROMODIPHENYL ETHER",53,,X,XX,UG/L,0.00000,0.00000,0.00000,0.00000,0.00000,"2,2',4,4',5,5'-HEXABROMODIPHEN",
A-085,"2,2',4,4',5-PENTABROMODIPHENYL ETHER",,,X,XX,UG/L,0.00000,0.00000,0.00000,0.00000,0.00000,"2,2',4,4'-5-PENTABROMODIPHENYL",
A-088,"2,2',4,4',6-PENTABROMODIPHENYL ETHER",,,X,XX,UG/L,0.00000,0.00000,0.00000,0.00000,0.00000,"2,2',4,4',6-PENTABROMODIPHENYL",
A-084,"2,2',4,4'-TETRABROMODIPHENYL ETHER",,,X,XX,UG/L,0.00000,0.00000,0.00000,0.00000,0.00000,"2,2',4,4'-TETRABROMODIPHENYL E",
77170,"2,2-DICHLOROPROPANE",,,P,UA,UG/L,0.00000,0.00000,0.00000,0.50000,0.00000,"DICHLOROPROPANE-2,2",
34676,"2,3,7,8-TCDD (DIOXIN)",DIOXIN,,A,SOC,PG/L,30.00000,0.00000,5.00000,5.00000,0.00000,"DIOXIN (2,3,7,8-TCDD)",P
39740,"2,4,5-T",,,A,XX,UG/L,0.00000,0.00000,0.00000,0.00000,0.00000,"T-2,4,5",
39045,"2,4,5-TP (SILVEX)",WEED-B-GON,,A,SOC,UG/L,50.00000,0.00000,1.00000,1.00000,10.00000,"SILVEX (2,4,5-TP)",P
34621,"2,4,6-TRICHLOROPHENOL",,,B,XX,UG/L,0.00000,0.00000,0.00000,5.00000,0.00000,"TRICHLOROPHENOL-2,4,6",
81360,"2,4,6-TRINITROTOLUENE (TNT)",TNT,,NL,XX,UG/L,0.00000,1.00000,0.00000,0.00000,0.00000,"TRINITROTOLUENE-2,4,6 (TNT)",
39730,"2,4-D",,,A,SOC,UG/L,70.00000,0.00000,10.00000,10.00000,0.00000,"D-2,4",P
38746,"2,4-DB",BUTOXONE,,A,XX,UG/L,0.00000,0.00000,0.00000,0.00000,0.00000,"DB-2,4",
34601,"2,4-DICHLOROPHENOL",,,B,XX,UG/L,0.00000,0.00000,0.00000,5.00000,0.00000,"DICHLOROPHENOL-2,4",
34606,"2,4-DIMETHYLPHENOL",,,B,XX,UG/L,0.00000,0.00000,100.00000,5.00000,0.00000,"DIMETHYLPHENOL-2,4",
34616,"2,4-DINITROPHENOL",,,B,XX,UG/L,0.00000,0.00000,0.00000,5.00000,0.00000,"DINITROPHENOL-2,4",
34611,"2,4-DINITROTOLUENE",,,B,XX,UG/L,0.00000,0.00000,0.00000,5.00000,0.00000,"DINITROTOLUENE-2,4",
34626,"2,6-DINITROTOLUENE",,,B,XX,UG/L,0.00000,0.00000,0.00000,5.00000,0.00000,"DINITROTOLUENE-2,6",
34576,2-CHLOROETHYLVINYL ETHER,,,P,XX,UG/L,0.00000,0.00000,0.00000,0.00000,0.00000,CHLOROETHYLVINYL ETHER-2,
34581,2-CHLORONAPHTHALENE,,,B,XX,UG/L,0.00000,0.00000,0.00000,5.00000,0.00000,CHLORONAPHTHALENE-2,
34586,2-CHLOROPHENOL,,,B,XX,UG/L,0.00000,0.00000,0.00000,5.00000,0.00000,CHLOROPHENOL-2,
A-008,2-CHLOROTOLUENE,,,NL,UA,UG/L,0.00000,140.00000,0.00000,0.50000,0.00000,CHLOROTOLUENE-2,
34657,"2-METHYL-4,6-DINITROPHENOL",,,B,XX,UG/L,0.00000,0.00000,0.00000,5.00000,0.00000,"METHYLDINITROPHENOL-2-4,6",
A-046,2-METHYLPHENOL,,,P,XX,UG/L,0.00000,0.00000,0.00000,0.00000,0.00000,METHYLPHENOL-2,
34591,2-NITROPHENOL,,,B,XX,UG/L,0.00000,0.00000,0.00000,5.00000,0.00000,NITROPHENOL-2,
34631,"3,3-DICHLOROBENZIDINE",,,B,XX,UG/L,0.00000,0.00000,0.00000,20.00000,0.00000,DICHLOROBENZIDINE-3.3,
A-095,"3,5-DICHLOROBENZOIC ACID","DCBA 3,4",,X,XX,UG/L,0.00000,0.00000,0.00000,0.00000,0.00000,,
A-021,3-HYDROXYCARBOFURAN,3-HYDROXY CARBOFURAN,,A,UC,UG/L,0.00000,0.00000,3.00000,3.00000,0.00000,HYDROXYCARBOFURAN-3,
39310,"4,4-DDD",,,B,XX,UG/L,0.00000,0.00000,0.00000,0.02000,0.00000,"DDD-4,4",
39320,"4,4-DDE",,,B,XX,UG/L,0.00000,0.00000,0.00000,0.01000,0.00000,"DDE-4,4",
39300,"4,4-DDT",,,B,XX,UG/L,0.00000,0.00000,0.00000,0.02000,0.00000,"DDT-4,4",
A-050,"4,6-DINITRO-O-CRESOL",,,X,XX,UG/L,0.00000,0.00000,0.00000,0.00000,0.00000,"4,6-DINITRO-O-CRESOL",
34636,4-BROMOPHENYL PHENYL ETHER,,,B,XX,UG/L,0.00000,0.00000,0.00000,5.00000,0.00000,BROMOPHENYL PHENYL ETHER-4,
34452,4-CHLORO-3-METHYLPHENOL,,,B,XX,UG/L,0.00000,0.00000,0.00000,5.00000,0.00000,CHLOROMETHYLPHENOL-4-3,
34641,4-CHLOROPHENYL PHENYL ETHER,,,B,XX,UG/L,0.00000,0.00000,0.00000,5.00000,0.00000,CHLOROPHENYL PHENYL ETHER-4,
A-009,4-CHLOROTOLUENE,,,NL,UA,UG/L,0.00000,140.00000,140.00000,0.50000,0.00000,CHLOROTOLUENE-4,
34646,4-NITROPHENOL,,,B,XX,UG/L,0.00000,0.00000,0.00000,5.00000,0.00000,NITROPHENOL-4,
34205,ACENAPHTHENE,,,B,XX,UG/L,0.00000,0.00000,0.00000,5.00000,0.00000,ACENAPHTHENE,
34200,ACENAPHTHYLENE,,,B,XX,UG/L,0.00000,0.00000,0.00000,5.00000,0.00000,ACENAPHTHYLENE,
81815,ACEPHATE,ORTHENE,,A,XX,UG/L,0.00000,0.00000,0.00000,10.00000,0.00000,ACEPHATE,
77001,ACETALDEHYDE,,,P,XX,UG/L,0.00000,0.00000,0.00000,0.00000,0.00000,ACETALDEHYDE,
A-058,ACETAMINOPHEN,,,X,XX,UG/L,0.00000,0.00000,0.00000,0.00000,0.00000,ACETAMINOPHEN,
04240,ACETOCHLOR,,,A,XX,UG/L,0.00000,0.00000,0.00000,0.00000,0.00000,ACETOCHLOR,
A-089,ACETOCHLOR ETHANE SULFONIC ACID,ACETOCHLOR ESA,,X,XX,UG/L,0.00000,0.00000,0.00000,0.00000,0.00000,ACETOCHLOR ESA,
A-090,ACETOCHLOR OXANILIC ACID,ACETOCHLOR OA,,X,XX,UG/L,0.00000,0.00000,0.00000,0.00000,0.00000,ACETOCHLOR OA,
81552,ACETONE,,,B,XX,UG/L,0.00000,0.00000,0.00000,0.00000,0.00000,ACETONE,
79193,ACIFLURFEN,BLAZER,,A,XX,UG/L,0.00000,0.00000,0.00000,0.00000,0.00000,ACIFLURFEN,
34210,ACROLEIN,AQUALIN,,A,XX,UG/L,0.00000,0.00000,0.00000,0.00000,0.00000,ACROLEIN,
34216,ACRYLONITRILE,ACRITET,VENTOX,A,XX,UG/L,0.00000,0.00000,0.00000,0.00000,0.00000,ACRYLONITRILE,
A-002,ACTI-DIONE,,,A,XX,UG/L,0.00000,0.00000,0.00000,0.00000,0.00000,ACTI-DIONE,
82383,AGGRSSIVE INDEX (CORROSIVITY),,,T,GP,,0.00000,0.00000,0.00000,0.00000,0.00000,AGGRSSIVE INDEX (CORROSIVITY),S
77825,ALACHLOR,ALANEX,,A,SOC,UG/L,2.00000,0.00000,1.00000,1.00000,0.00000,ALACHLOR,P
A-094,ALACHLOR ETHANE SULFONIC ACID,ALACHLOR ESA,,X,XX,UG/L,0.00000,0.00000,0.00000,0.00000,0.00000,ALACHLOR ESA,P
A-091,ALACHLOR OXANILIC ACID,ALACHLOR OA,,X,XX,UG/L,0.00000,0.00000,0.00000,0.00000,0.00000,ALACHLOR OA,P
39053,ALDICARB,TEMIK,,A,UC,UG/L,0.00000,0.00000,7.00000,3.00000,0.00000,ALDICARB,
A-020,ALDICARB SULFONE,STANDAK,ALDOXYCARB,A,UC,UG/L,0.00000,0.00000,4.00000,4.00000,0.00000,ALDICARB SULFONE,
A-019,ALDICARB SULFOXIDE,,,A,UC,UG/L,0.00000,0.00000,3.00000,3.00000,0.00000,ALDICARB SULFOXIDE,
39330,ALDRIN,,,B,UC,UG/L,0.00000,0.00000,0.00000,0.07500,0.00000,ALDRIN,
45608,ALICEP,PYRAZON,CHLORBUFAM,A,XX,UG/L,0.00000,0.00000,0.00000,0.01000,0.00000,ALICEP,
00410,ALKALINITY (TOTAL) AS CACO3,,,T,XX,MG/L,0.00000,0.00000,0.00000,0.00000,0.00000,ALKALINITY (TOTAL) AS CACO3,
39337,ALPHA-BHC,,,B,XX,UG/L,0.00000,0.00000,0.00000,0.01000,0.00000,ALPHA-BHC,
01105,ALUMINUM,,,T,IO,UG/L,1000.00000,0.00000,200.00000,50.00000,600.00000,ALUMINUM,S
01106,"ALUMINUM, DISSOLVED",,,T,IO,UG/L,1000.00000,0.00000,200.00000,0.00000,0.00000,"ALUMINUM, DISSOLVED",S
82184,AMETRYN,EVIK,GESAPAX,A,XX,UG/L,0.00000,0.00000,0.00000,0.00000,0.00000,AMETRYN,
82051,AMIBEN,CHLORAMBEN,,A,XX,UG/L,0.00000,0.00000,0.00000,0.00000,0.00000,AMIBEN,
38404,AMINOCARB,MATACIL,,A,XX,UG/L,0.00000,0.00000,0.00000,0.00000,0.00000,AMINOCARB,
73509,AMINOTRIAZOLE,AMITROLE,,A,XX,UG/L,0.00000,0.00000,0.00000,0.00000,0.00000,AMINOTRIAZOLE,
00612,AMMONIA (NH3-N),NH3-N,,T,XX,MG/L,0.00000,0.00000,0.00000,0.00000,0.00000,AMMONIA (NH3-N),
A-059,AMOXICILLIN,,,X,XX,UG/L,0.00000,0.00000,0.00000,0.00000,0.00000,AMOXICILLIN,
34220,ANTHRACENE,,,B,XX,UG/L,0.00000,0.00000,0.00000,5.00000,0.00000,ANTHRACENE,
01097,ANTIMONY,,,T,IO,UG/L,6.00000,0.00000,6.00000,6.00000,0.00000,ANTIMONY,P
01002,ARSENIC,AS,,T,IO,UG/L,10.00000,0.00000,5.00000,2.00000,0.00000,ARSENIC,P
81855,ASBESTOS,,,T,IO,MFL,7.00000,0.00000,7.00000,0.20000,0.00000,ASBESTOS,P
82185,ATRATON,GESATAMIN,,A,XX,UG/L,0.00000,0.00000,0.00000,0.00000,0.00000,ATRATON,
39033,ATRAZINE,AATREX,,A,SOC,UG/L,1.00000,0.00000,0.00000,0.50000,3.00000,ATRAZINE,P
81292,AZINPHOS ETHYL,,,A,XX,UG/L,0.00000,0.00000,0.00000,0.00000,0.00000,AZINPHOS ETHYL,
A-060,AZITHROMYCIN,,,X,XX,UG/L,0.00000,0.00000,0.00000,0.00000,0.00000,AZITHROMYCIN,
38418,BARBAN,BARBAMATE,CARBYNE,A,XX,UG/L,0.00000,0.00000,0.00000,0.00000,0.00000,BARBAN,
01007,BARIUM,BA,,T,IO,UG/L,1000.00000,0.00000,1000.00000,100.00000,600.00000,BARIUM,P
39002,BENFLURALIN,BALAN,BENEFIN,A,XX,UG/L,0.00000,0.00000,0.00000,0.00000,0.00000,BENFLURALIN,
38705,BENOMYL,BENLATE,,A,XX,UG/L,0.00000,0.00000,0.00000,100.00000,0.00000,BENOMYL,
38710,BENTAZON,BASAGRAN,,A,SOC,UG/L,18.00000,0.00000,2.00000,2.00000,18.00000,BENTAZON,
34030,BENZENE,BENZOL,,A,VOC,UG/L,1.00000,0.00000,0.00000,0.50000,0.00000,BENZENE,P
39120,BENZIDINE,,,B,XX,UG/L,0.00000,0.00000,0.00000,5.00000,0.00000,BENZIDINE,
34526,BENZO (A) ANTHRACENE,,,B,XX,UG/L,0.00000,0.00000,0.00000,10.00000,0.00000,BENZO (A) ANTHRACENE,
34247,BENZO (A) PYRENE,,,B,SOC,UG/L,0.20000,0.00000,0.00000,0.10000,0.00000,BENZO (A) PYRENE,P
34230,BENZO (B) FLUORANTHENE,,,B,XX,UG/L,0.00000,0.00000,0.00000,10.00000,0.00000,BENZO (B) FLUORANTHENE,
34521,BENZO (GHI) PERYLENE,,,B,XX,UG/L,0.00000,0.00000,0.00000,10.00000,0.00000,BENZO (GHI) PERYLENE,
34242,BENZO (K) FLUORANTHENE,,,B,XX,UG/L,0.00000,0.00000,0.00000,10.00000,0.00000,BENZO (K) FLUORANTHENE,
34292,BENZYL BUTYL PHTHALATE,,,B,XX,UG/L,0.00000,0.00000,0.00000,10.00000,0.00000,BENZYL BUTYL PHTHALATE,
01012,BERYLLIUM,,,T,IO,UG/L,4.00000,0.00000,4.00000,1.00000,0.00000,BERYLLIUM,P
39338,BETA-BHC,,,B,XX,UG/L,0.00000,0.00000,0.00000,0.05000,0.00000,BETA-BHC,
82197,BETASAN,BENSULIDE,,A,XX,UG/L,0.00000,0.00000,0.00000,0.00000,0.00000,BETASAN,
00440,BICARBONATE ALKALINITY,HCO3,BICARBONATE,T,GP,MG/L,0.00000,0.00000,0.00000,0.00000,0.00000,BICARBONATE ALKALINITY,
34278,BIS (2-CHLOROETHOXY) METHANE,,,B,XX,UG/L,0.00000,0.00000,0.00000,5.00000,0.00000,METHANE BIS (2-CHLOROETHOXY),
34273,BIS (2-CHLOROETHYL) ETHER,,,B,XX,UG/L,0.00000,0.00000,0.00000,0.00000,0.00000,ETHER BIS (2-CHLOROETHYL),
34283,BIS (2-CHLOROISOPROPYL) ETHER,,,B,XX,UG/L,0.00000,0.00000,0.00000,5.00000,0.00000,ETHER BIS (2-CHLOROISOPROPYL),
A-018,"BIS 1,1-DIMETHYLETHYLPEROXIDE",,,X,XX,UG/L,0.00000,0.00000,0.00000,0.00000,0.00000,"DIMETHYLETHYLPEROXIDE-1,1 BIS",
A-015,"BIS 1,1-DIMETHYLPEROXIDE",,,X,XX,UG/L,0.00000,0.00000,0.00000,0.00000,0.00000,"DIMETHYLPEROXIDE-1,1 BIS",
81651,BISPHENOL A,,,X,XX,UG/L,0.00000,0.00000,0.00000,0.00000,0.00000,BISPHENOL A,
01020,BORON,B,,NL,XX,UG/L,0.00000,1000.00000,0.00000,100.00000,0.00000,BORON,
82198,BROMACIL,HYVAR,,A,UB,UG/L,0.00000,0.00000,10.00000,10.00000,0.00000,BROMACIL,
A-027,BROMATE,,,T,DBP,UG/L,10.00000,0.00000,10.00000,5.00000,0.00000,BROMATE,P
82298,BROMIDE,,,T,XX,MG/L,0.00000,0.00000,0.00000,0.00000,0.00000,BROMIDE,
81555,BROMOBENZENE,,,P,UA,UG/L,0.00000,0.00000,0.00000,0.50000,0.00000,BROMOBENZENE,
A-038,BROMOCHLOROACETIC ACID (BCAA),BCAA,,P,,UG/L,0.00000,0.00000,0.00000,1.00000,0.00000,BROMOCHLOROACETIC ACID (BCAA),
A-012,BROMOCHLOROMETHANE,,,P,UB,UG/L,0.00000,0.00000,0.00000,0.50000,0.00000,BROMOCHLOROMETHANE,
A-039,BROMODICHLOROACETIC ACID (BDCAA),BDCAA,,P,,UG/L,0.00000,0.00000,0.00000,1.00000,0.00000,BROMODICHLOROACETIC ACID (BDCA,
32101,BROMODICHLOROMETHANE (THM),DICHLOROBROMOMETHANE,,TH,DBP,UG/L,0.00000,0.00000,0.00000,1.00000,0.00000,BROMODICHLORMETHANE (THM),
32104,BROMOFORM (THM),BROMOFORM,,TH,DBP,UG/L,0.00000,0.00000,0.00000,1.00000,0.00000,BROMOFORM (THM),
34413,BROMOMETHANE,METHYL BROMIDE,,A,UA,UG/L,0.00000,0.00000,0.00000,0.50000,0.00000,BROMOMETHANE,
77860,BUTACHLOR,,,A,UC,UG/L,0.00000,0.00000,0.00000,0.38000,0.00000,BUTACHLOR,
81410,BUTYLATE,SUTAN,,A,XX,UG/L,0.00000,0.00000,0.00000,0.00000,0.00000,BUTYLATE,
45046,C3-ALKYLBENZENE,PROPYLBENZENE,,A,XX,UG/L,0.00000,0.00000,0.00000,0.00000,0.00000,ALKYLBENZENE-C3,
45049,C4-ALKYLBENZENE,ETHYLDIMETHYLBENZENE,,A,XX,UG/L,0.00000,0.00000,0.00000,0.00000,0.00000,ALKYLBENZENE-C4,
01027,CADMIUM,CD,,T,IO,UG/L,5.00000,0.00000,5.00000,1.00000,0.00000,CADMIUM,P
81436,CAFFEINE,,,X,XX,UG/L,0.00000,0.00000,0.00000,0.00000,0.00000,CAFFEINE,
00916,CALCIUM,CA,,T,GP,MG/L,0.00000,0.00000,0.00000,0.00000,0.00000,CALCIUM,
39640,CAPTAN,CAPTANE,,A,XX,UG/L,0.00000,0.00000,2.00000,0.10000,0.00000,CAPTAN,
39031,CAPTATOL,SANSPOR,,A,XX,UG/L,0.00000,0.00000,0.00000,0.00000,0.00000,CAPTATOL,
A-061,CARBAMAZEPINE,,,X,XX,UG/L,0.00000,0.00000,0.00000,0.00000,0.00000,CARBAMAZEPINE,
77700,CARBARYL,SEVIN,,A,UC,UG/L,0.00000,0.00000,700.00000,5.00000,0.00000,CARBARYL,
38735,CARBENDAZIM,MBC,,A,XX,UG/L,0.00000,0.00000,0.00000,0.00000,0.00000,CARBENDAZIM,
81405,CARBOFURAN,FURADAN,,A,SOC,UG/L,18.00000,0.00000,5.00000,5.00000,18.00000,CARBOFURAN,P
77000,CARBON DIOXIDE,,,T,XX,UG/L,0.00000,0.00000,0.00000,0.00000,0.00000,CARBON DIOXIDE,
77041,CARBON DISULFIDE,,,NL,XX,UG/L,0.00000,160.00000,0.00000,0.50000,0.00000,CARBON DISULFIDE,
32102,CARBON TETRACHLORIDE,,,P,VOC,UG/L,0.50000,0.00000,0.00000,0.50000,0.00000,CARBON TETRACHLORIDE,P
00445,CARBONATE ALKALINITY,CO3,CARBONATE,T,GP,MG/L,0.00000,0.00000,0.00000,0.00000,0.00000,CARBONATE ALKALINITY,
39786,CARBOPHENOTHION,TRITHION,,A,XX,UG/L,0.00000,0.00000,0.00000,0.00000,0.00000,CARBOPHENOTHION,
82297,CASORON,DICHLOBENIL,,A,XX,UG/L,0.00000,0.00000,0.00000,0.00000,0.00000,CASORON,
A-037,CHLORATE,,,NL,I,UG/L,0.00000,800.00000,200.00000,20.00000,0.00000,CHLORATE,
39350,CHLORDANE,CHLORDAN,,B,SOC,UG/L,0.10000,0.00000,0.00000,0.10000,0.00000,CHLORDANE,P
81281,CHLORDECONE,KEPONE,,A,XX,UG/L,0.00000,0.00000,0.00000,0.00000,0.00000,CHLORDECONE,
77953,CHLORDIMEFORM,CHLORPHENAMIDINE,,A,XX,UG/L,0.00000,0.00000,0.00000,0.00000,0.00000,CHLORDIMEFORM,
00940,CHLORIDE,CL,,T,GP,MG/L,500.00000,0.00000,500.00000,0.00000,0.00000,CHLORIDE,S
50070,CHLORINE DIOXIDE,,,T,I,MG/L,0.00000,0.00000,0.00000,0.00000,0.00000,CHLORINE DIOXIDE,P
50074,CHLORITE,,,T,DBP,MG/L,1.00000,0.00000,1.00000,0.02000,0.00000,CHLORITE,P
39460,CHLOROBENZILATE,,,A,XX,UG/L,0.00000,0.00000,0.00000,0.00000,0.00000,CHLOROBENZILATE,
34307,CHLORODIBROMOMETHANE,,,P,XX,UG/L,100.00000,0.00000,100.00000,0.00000,0.00000,CHLORODIBROMOMETHANE,
34311,CHLOROETHANE,,,P,UA,UG/L,0.00000,0.00000,0.00000,0.50000,0.00000,CHLOROETHANE,
32106,CHLOROFORM (THM),TRICHLOROMETHANE,CHLOROFORM,TH,DBP,UG/L,0.00000,0.00000,0.00000,1.00000,0.00000,CHLOROFORM (THM),
34418,CHLOROMETHANE,METHYL CHLORIDE,,A,UA,UG/L,0.00000,0.00000,0.00000,0.50000,0.00000,CHLOROMETHANE,
38423,CHLORONEB,,,A,XX,UG/L,0.00000,0.00000,0.00000,0.00000,0.00000,CHLORONEB,
77548,CHLOROPICRIN,,,A,XX,UG/L,0.00000,0.00000,50.00000,1.00000,0.00000,CHLOROPICRIN,
81322,CHLOROPROPHAM,CIPC,,A,XX,UG/L,0.00000,0.00000,0.00000,0.00000,0.00000,CHLOROPROPHAM,
38429,CHLOROPROPYLATE,,,A,XX,UG/L,0.00000,0.00000,0.00000,0.00000,0.00000,CHLOROPROPYLATE,
70314,CHLOROTHALONIL,DACONIL,BRAVO,A,UB,UG/L,0.00000,0.00000,5.00000,5.00000,0.00000,CHLOROTHALONIL,
77970,CHLOROTOLUENE,,,P,XX,UG/L,0.00000,0.00000,0.00000,0.00000,0.00000,CHLOROTOLUENE,
77969,CHLORPYRIFOS,DURSBAN,LORSBAN,A,XX,UG/L,0.00000,0.00000,0.00000,1.00000,0.00000,CHLORPYRIFOS,
A-006,CHLORSULFURON,GLEAN,DPX 4189,A,XX,UG/L,0.00000,0.00000,0.00000,0.00000,0.00000,CHLORSULFURON,
A-044,CHROMIUM (TOTAL CR-CRVI SCREEN),,,T,IO,UG/L,0.00000,0.00000,0.00000,1.00000,0.00000,CHROMIUM (TOTAL CR-CRVI SCREEN,P
01034,CHROMIUM (TOTAL),CR,,T,IO,UG/L,50.00000,0.00000,50.00000,10.00000,2.00000,CHROMIUM (TOTAL),P
01032,"CHROMIUM, HEXAVALENT",CHROMIUM VI,CHROMIUM 6,T,IO,UG/L,0.00000,0.00000,10.00000,1.00000,0.00000,"CHROMIUM, HEXAVALENT",
34320,CHRYSENE,,,B,XX,UG/L,0.00000,0.00000,0.00000,5.00000,0.00000,CHRYSENE,
82565,CIODRIN,CROTOXYPHOS,,A,XX,UG/L,0.00000,0.00000,0.00000,0.00000,0.00000,CIODRIN,
A-062,CIPROFLOXACIN,,,X,XX,UG/L,0.00000,0.00000,0.00000,0.00000,0.00000,CIPROFLOXACIN,
77093,"CIS-1,2-DICHLOROETHYLENE","C-1,2-DCE",,P,VOC,UG/L,6.00000,0.00000,0.00000,0.50000,6.00000,"CIS-1,2-DICHLOROETHYLENE",P
34704,"CIS-1,3-DICHLOROPROPENE",D-D,,A,XX,UG/L,0.00000,0.00000,0.00000,0.00000,0.00000,"CIS-1,3-DICHLOROPROPENE",
82418,CIS-PERMETHRIN,,,A,XX,UG/L,0.00000,0.00000,0.00000,0.00000,0.00000,CIS-PERMETHRIN,
01035,COBALT,,,T,XX,UG/L,0.00000,0.00000,0.00000,0.00000,0.00000,COBALT,
